"filename", "language", "Markdown", "PostCSS", "HTML", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\alarmas\modal.css", "PostCSS", 0, 82, 0, 0, 0, 0, 14, 96
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\alarmas\responsive.css", "PostCSS", 0, 111, 0, 0, 0, 17, 25, 153
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\alarmas\toast.css", "PostCSS", 0, 29, 0, 0, 0, 1, 3, 33
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\alarmas\topbar.css", "PostCSS", 0, 75, 0, 0, 0, 2, 11, 88
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\cuidador-alarmas\index.css", "PostCSS", 0, 169, 0, 0, 0, 5, 23, 197
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\cuidador-alarmas\layout.css", "PostCSS", 0, 194, 0, 0, 0, 0, 34, 228
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\cuidador-medicinas\cards.css", "PostCSS", 0, 197, 0, 0, 0, 0, 32, 229
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\cuidador-medicinas\controls.css", "PostCSS", 0, 105, 0, 0, 0, 4, 15, 124
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\cuidador-medicinas\form.css", "PostCSS", 0, 48, 0, 0, 0, 0, 7, 55
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\cuidador-medicinas\header.css", "PostCSS", 0, 103, 0, 0, 0, 0, 13, 116
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\cuidador-medicinas\index.css", "PostCSS", 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\cuidador-medicinas\layout.css", "PostCSS", 0, 38, 0, 0, 0, 0, 7, 45
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\cuidador-medicinas\modal.css", "PostCSS", 0, 95, 0, 0, 0, 0, 16, 111
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\cuidador-medicinas\responsive.css", "PostCSS", 0, 23, 0, 0, 0, 0, 5, 28
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\cuidador-vinculacion\cards.css", "PostCSS", 0, 34, 0, 0, 0, 0, 5, 39
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\cuidador-vinculacion\data.css", "PostCSS", 0, 24, 0, 0, 0, 0, 3, 27
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\cuidador-vinculacion\form.css", "PostCSS", 0, 56, 0, 0, 0, 0, 10, 66
